mean_diff,ci_lower,ci_upper,p_value,p_value_str,n_pairs,n_bootstrap,pilot_density,snr_db,metric,comparison
0.0295,0.015,0.04425,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,-5.0,path_recall,random_minus_comb
0.020348495297333687,-0.0006031964032283798,0.04076072867902494,0.05499450054994501,0.0550,1000,10000,0.0625,-5.0,power_recovery,random_minus_comb
-0.007077098850396894,-0.013973930980584486,-4.697126514851852e-05,0.0481951804819518,0.0482,1000,10000,0.0625,-5.0,ospa_distance,random_minus_comb
0.01715957460848956,0.0061112000126175535,0.028630595153556825,0.001999800019998,0.0020,888,10000,0.0625,-5.0,delay_rmse_bins,random_minus_comb
0.16438615078569294,0.13822393829148807,0.1914812910928605,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,-5.0,nmse_estimated_support_ls,random_minus_comb
0.08025,0.06725,0.0927562499999999,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,0.0,path_recall,random_minus_comb
0.05674967696086315,0.04204836575228833,0.07125272578855893,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,0.0,power_recovery,random_minus_comb
-0.03624419108742578,-0.0430072902938812,-0.029600406683354577,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,0.0,ospa_distance,random_minus_comb
0.012563232015268258,0.004757233925402789,0.020174362324859068,0.0017998200179982,0.0018,979,10000,0.0625,0.0,delay_rmse_bins,random_minus_comb
-0.17112556099953152,-0.18325589105493081,-0.15911963158142206,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,0.0,nmse_estimated_support_ls,random_minus_comb
0.13175,0.118,0.14525,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,5.0,path_recall,random_minus_comb
0.07740784977293064,0.06211104257348216,0.09246019864456122,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,5.0,power_recovery,random_minus_comb
-0.07794278544774054,-0.08584314925388618,-0.07056074868002718,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,5.0,ospa_distance,random_minus_comb
0.0162006371646394,0.009252211463918055,0.02322598091563095,0.00019998000199980003,<2.0e-04,982,10000,0.0625,5.0,delay_rmse_bins,random_minus_comb
-0.3087914534974096,-0.3181795038416207,-0.2995315699482156,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,5.0,nmse_estimated_support_ls,random_minus_comb
0.15375,0.1405,0.167,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,10.0,path_recall,random_minus_comb
0.10586520933458007,0.09255847304158604,0.11970839626844662,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,10.0,power_recovery,random_minus_comb
-0.08978799265734282,-0.09765642574192732,-0.08214992980800999,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,10.0,ospa_distance,random_minus_comb
0.013963600659471193,0.007331180065014873,0.02066770473820131,0.00019998000199980003,<2.0e-04,997,10000,0.0625,10.0,delay_rmse_bins,random_minus_comb
-0.34286075719391385,-0.351692972185726,-0.33409845248456477,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,10.0,nmse_estimated_support_ls,random_minus_comb
0.15775,0.1435,0.172,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,15.0,path_recall,random_minus_comb
0.08871068787798746,0.07391807037359371,0.10350960074259447,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,15.0,power_recovery,random_minus_comb
-0.09615959756786055,-0.10435554667016267,-0.08809248264796078,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,15.0,ospa_distance,random_minus_comb
0.021910010026856018,0.015729980778849257,0.02809071946522341,0.00019998000199980003,<2.0e-04,990,10000,0.0625,15.0,delay_rmse_bins,random_minus_comb
-0.3455250075776941,-0.3544542445738912,-0.33662261610089644,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,15.0,nmse_estimated_support_ls,random_minus_comb
0.1585,0.14525,0.17175,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,20.0,path_recall,random_minus_comb
0.10170904792297776,0.0877803249635485,0.1158275850186227,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,20.0,power_recovery,random_minus_comb
-0.09703040833276759,-0.10492066827165286,-0.0892933358869196,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,20.0,ospa_distance,random_minus_comb
0.014012169993550724,0.008005894045623201,0.01989756964234646,0.00019998000199980003,<2.0e-04,995,10000,0.0625,20.0,delay_rmse_bins,random_minus_comb
-0.34900336305671126,-0.35740741954254046,-0.34058165989701017,0.00019998000199980003,<2.0e-04,1000,10000,0.0625,20.0,nmse_estimated_support_ls,random_minus_comb
0.0415,0.027,0.0555,0.00019998000199980003,<2.0e-04,1000,10000,0.125,-5.0,path_recall,random_minus_comb
0.02184759650818655,0.005311466500689743,0.03805112094643093,0.009799020097990201,0.0098,1000,10000,0.125,-5.0,power_recovery,random_minus_comb
-0.02177574808974121,-0.02897608189210824,-0.014542402331905761,0.00019998000199980003,<2.0e-04,1000,10000,0.125,-5.0,ospa_distance,random_minus_comb
0.012335397720967914,0.004526095563099931,0.019947333057362626,0.0021997800219978004,0.0022,967,10000,0.125,-5.0,delay_rmse_bins,random_minus_comb
-0.5652090461045464,-0.6239146394592271,-0.507308303741603,0.00019998000199980003,<2.0e-04,1000,10000,0.125,-5.0,nmse_estimated_support_ls,random_minus_comb
0.076,0.062,0.09,0.00019998000199980003,<2.0e-04,1000,10000,0.125,0.0,path_recall,random_minus_comb
0.04614293803043914,0.03160204416724265,0.06066771038260662,0.00019998000199980003,<2.0e-04,1000,10000,0.125,0.0,power_recovery,random_minus_comb
-0.04892103053826479,-0.056934814780990065,-0.040820004511072074,0.00019998000199980003,<2.0e-04,1000,10000,0.125,0.0,ospa_distance,random_minus_comb
0.009263347197247362,0.0036989940677882617,0.014819196726044556,0.0025997400259974,0.0026,989,10000,0.125,0.0,delay_rmse_bins,random_minus_comb
-0.34782026191273835,-0.37913275048202927,-0.3176696474188205,0.00019998000199980003,<2.0e-04,1000,10000,0.125,0.0,nmse_estimated_support_ls,random_minus_comb
0.12425,0.1115,0.13725,0.00019998000199980003,<2.0e-04,1000,10000,0.125,5.0,path_recall,random_minus_comb
0.07131908325104079,0.05876527939614871,0.08371133722926945,0.00019998000199980003,<2.0e-04,1000,10000,0.125,5.0,power_recovery,random_minus_comb
-0.07859464488289347,-0.08691449788196524,-0.07054032682137264,0.00019998000199980003,<2.0e-04,1000,10000,0.125,5.0,ospa_distance,random_minus_comb
0.011556719768384655,0.006151381010139136,0.016839320827949786,0.00019998000199980003,<2.0e-04,995,10000,0.125,5.0,delay_rmse_bins,random_minus_comb
-0.30011135784433596,-0.3242585606913897,-0.27730455144646127,0.00019998000199980003,<2.0e-04,1000,10000,0.125,5.0,nmse_estimated_support_ls,random_minus_comb
0.1335,0.12025,0.1465,0.00019998000199980003,<2.0e-04,1000,10000,0.125,10.0,path_recall,random_minus_comb
0.07085789359174509,0.05861020050776721,0.08317161576003379,0.00019998000199980003,<2.0e-04,1000,10000,0.125,10.0,power_recovery,random_minus_comb
-0.08409178223937777,-0.09280221287465348,-0.07542897396232653,0.00019998000199980003,<2.0e-04,1000,10000,0.125,10.0,ospa_distance,random_minus_comb
0.016055803056110072,0.010796406011608263,0.021277228608506872,0.00019998000199980003,<2.0e-04,998,10000,0.125,10.0,delay_rmse_bins,random_minus_comb
-0.23707583598116957,-0.25612101517007974,-0.21880693411630758,0.00019998000199980003,<2.0e-04,1000,10000,0.125,10.0,nmse_estimated_support_ls,random_minus_comb
0.15675,0.143,0.17075,0.00019998000199980003,<2.0e-04,1000,10000,0.125,15.0,path_recall,random_minus_comb
0.08062886287222645,0.06720052867958692,0.09439254954858342,0.00019998000199980003,<2.0e-04,1000,10000,0.125,15.0,power_recovery,random_minus_comb
-0.10450541715149889,-0.11420605941834351,-0.09482067380765559,0.00019998000199980003,<2.0e-04,1000,10000,0.125,15.0,ospa_distance,random_minus_comb
0.019091876087365126,0.013647498132600354,0.02444881030375161,0.00019998000199980003,<2.0e-04,992,10000,0.125,15.0,delay_rmse_bins,random_minus_comb
-0.2595866984382088,-0.28206842390673587,-0.2377273644325171,0.00019998000199980003,<2.0e-04,1000,10000,0.125,15.0,nmse_estimated_support_ls,random_minus_comb
0.1455,0.1315,0.159,0.00019998000199980003,<2.0e-04,1000,10000,0.125,20.0,path_recall,random_minus_comb
0.07806525182218266,0.06499055113645134,0.09065567425050565,0.00019998000199980003,<2.0e-04,1000,10000,0.125,20.0,power_recovery,random_minus_comb
-0.10172723024118455,-0.11097213120525642,-0.09245025708484714,0.00019998000199980003,<2.0e-04,1000,10000,0.125,20.0,ospa_distance,random_minus_comb
0.011596702670227303,0.006515322684986582,0.016670471831773743,0.00019998000199980003,<2.0e-04,997,10000,0.125,20.0,delay_rmse_bins,random_minus_comb
-0.24439601634795025,-0.2641216184365563,-0.22594263494816264,0.00019998000199980003,<2.0e-04,1000,10000,0.125,20.0,nmse_estimated_support_ls,random_minus_comb
-0.02075,-0.03375,-0.00775,0.0021997800219978004,0.0022,1000,10000,0.25,-5.0,path_recall,random_minus_comb
-0.004567621562840918,-0.017424316034615576,0.008444651593406004,0.48635136486351366,0.4864,1000,10000,0.25,-5.0,power_recovery,random_minus_comb
0.020126864591115214,0.012531404778646992,0.02766158983231024,0.00019998000199980003,<2.0e-04,1000,10000,0.25,-5.0,ospa_distance,random_minus_comb
0.004164696106343582,-0.0012868745069276515,0.009807406981339624,0.136986301369863,0.1370,985,10000,0.25,-5.0,delay_rmse_bins,random_minus_comb
0.012084380677748346,0.004561060252069262,0.019520863255816354,0.0011998800119988001,0.0012,1000,10000,0.25,-5.0,nmse_estimated_support_ls,random_minus_comb
-0.02925,-0.0405,-0.01825,0.00019998000199980003,<2.0e-04,1000,10000,0.25,0.0,path_recall,random_minus_comb
-0.006753858710201765,-0.018129870971530897,0.0046247621976139314,0.2455754424557544,0.2456,1000,10000,0.25,0.0,power_recovery,random_minus_comb
0.028383147921447298,0.02213088997076362,0.034732109538529087,0.00019998000199980003,<2.0e-04,1000,10000,0.25,0.0,ospa_distance,random_minus_comb
0.0011943001109531372,-0.0037373793928061477,0.006013570392953154,0.6379362063793621,0.6379,994,10000,0.25,0.0,delay_rmse_bins,random_minus_comb
0.015181459090945293,0.011936173713527945,0.01842409483149418,0.00019998000199980003,<2.0e-04,1000,10000,0.25,0.0,nmse_estimated_support_ls,random_minus_comb
-0.02375,-0.033,-0.01475,0.00019998000199980003,<2.0e-04,1000,10000,0.25,5.0,path_recall,random_minus_comb
-0.012482902267190739,-0.02344411438859448,-0.002290214999452667,0.014998500149985002,0.0150,1000,10000,0.25,5.0,power_recovery,random_minus_comb
0.030446127988312484,0.024959402161735474,0.035864051456511045,0.00019998000199980003,<2.0e-04,1000,10000,0.25,5.0,ospa_distance,random_minus_comb
0.009229703963879107,0.005107416175629133,0.013428451412302487,0.00019998000199980003,<2.0e-04,999,10000,0.25,5.0,delay_rmse_bins,random_minus_comb
0.015880591658408817,0.013744604254023348,0.018104387212894826,0.00019998000199980003,<2.0e-04,1000,10000,0.25,5.0,nmse_estimated_support_ls,random_minus_comb
-0.02575,-0.034,-0.0175,0.00019998000199980003,<2.0e-04,1000,10000,0.25,10.0,path_recall,random_minus_comb
-0.01725752248141044,-0.02711147273780276,-0.007607818145901285,0.00039996000399960006,4.0e-04,1000,10000,0.25,10.0,power_recovery,random_minus_comb
0.027444880862137713,0.022610694406705305,0.032369530731690445,0.00019998000199980003,<2.0e-04,1000,10000,0.25,10.0,ospa_distance,random_minus_comb
0.00463826430740704,0.0010195946673091604,0.008261776162453936,0.010998900109989001,0.0110,999,10000,0.25,10.0,delay_rmse_bins,random_minus_comb
0.010715586218502377,0.009273900398282667,0.012157336617449659,0.00019998000199980003,<2.0e-04,1000,10000,0.25,10.0,nmse_estimated_support_ls,random_minus_comb
-0.01975,-0.0285,-0.011,0.00019998000199980003,<2.0e-04,1000,10000,0.25,15.0,path_recall,random_minus_comb
-0.0122747538401448,-0.021706300455014444,-0.0028885625580817487,0.0093990600939906,0.0094,1000,10000,0.25,15.0,power_recovery,random_minus_comb
0.028160796148617075,0.023030865997340475,0.03334662405824773,0.00019998000199980003,<2.0e-04,1000,10000,0.25,15.0,ospa_distance,random_minus_comb
0.007524957496171107,0.003591578935330445,0.011329333157827515,0.00039996000399960006,4.0e-04,999,10000,0.25,15.0,delay_rmse_bins,random_minus_comb
0.011202255845495725,0.009961901238055432,0.012438451577355797,0.00019998000199980003,<2.0e-04,1000,10000,0.25,15.0,nmse_estimated_support_ls,random_minus_comb
-0.02075,-0.029,-0.01225,0.00019998000199980003,<2.0e-04,1000,10000,0.25,20.0,path_recall,random_minus_comb
-0.013878312188914823,-0.023987231367101645,-0.0035090828622272503,0.006999300069993001,0.0070,1000,10000,0.25,20.0,power_recovery,random_minus_comb
0.02123014975787234,0.016570138921251174,0.025855067431817143,0.00019998000199980003,<2.0e-04,1000,10000,0.25,20.0,ospa_distance,random_minus_comb
0.001287154475708992,-0.0024353631604030336,0.005062202647614307,0.49035096490350966,0.4904,1000,10000,0.25,20.0,delay_rmse_bins,random_minus_comb
0.009741457125984872,0.008405104509745801,0.011115657821773636,0.00019998000199980003,<2.0e-04,1000,10000,0.25,20.0,nmse_estimated_support_ls,random_minus_comb
